NumEstacao,distance
687594120,0.28
1011558375,0.28
536068305,0.28
1011540204,0.28
411065041,0.28
536375780,0.28
691693978,0.28
1010399060,0.28
399678409,0.28
689068247,0.28
1010398919,0.28
1009941370,0.28
396721958,0.28
1009880672,0.28
396721885,0.28
1009336409,0.28
535648278,0.28
1009225445,0.28
689079940,0.28
1008944057,0.28
1014944802,0.28
1014962495,0.28
431057540,0.28
699067979,0.28
699851670,0.28
1008944030,0.28
1012405513,0.28
535977387,0.28
535977395,0.28
536376115,0.28
699601495,0.28
1008853965,0.28
1009539458,0.28
536375364,0.28
686689674,0.28
699067464,0.28
1008827603,0.28
1013135137,0.28
1013193820,0.28
534854990,0.28
1008827590,0.28
399678697,0.28
534216099,0.28
534216102,0.28
1008765128,0.28
637065158,0.28
692807993,0.28
1008765071,0.28
1012610397,0.28
1008746280,0.05
1014962533,0.05
442753683,0.28
1008573121,0.28
1012553679,0.28
413160017,0.28
535811624,0.28
691929777,0.28
1008353067,0.05
396721940,0.28
699327989,0.28
699328276,0.05
1008197120,0.28
687472539,0.28
1008197022,0.100285
441554512,0.28
441554555,0.28
534216382,0.28
691885524,0.100285
695641743,0.28
1008100452,0.28
1014213042,0.28
1014493967,0.28
442035500,0.28
1008100428,0.28
1012821517,0.28
1014493940,0.28
682910783,0.28
1008100380,0.28
396824285,0.28
535811705,0.28
691538620,0.28
1008032937,0.13033
1010296059,0.28
1014944764,0.28
1014962525,0.28
1850580,0.28
442159412,0.28
534548725,0.13033
686170946,0.28
688413803,0.28
691931607,0.05
1007841696,0.28
687476070,0.28
1007841688,0.28
1008197103,0.28
1517830,0.28
689595093,0.28
1007765230,0.28
2037025,0.28
1007751743,0.28
403101352,0.28
691929785,0.28
693080981,0.28
1007622439,0.28
534605818,0.28
534619649,0.28
691654450,0.28
1007266071,0.28
442322941,0.28
699354242,0.28
1007170937,0.28
687472482,0.28
1007166409,0.28
396731040,0.28
699068126,0.28
1007092715,0.28
379980924,0.28
441994636,0.28
699380359,0.28
1006681326,0.156935
1006712310,0.156935
1015375771,0.05
688473652,0.05
688473784,0.05
693072199,0.28
1006620637,0.28
396746489,0.28
687635080,0.28
699600839,0.28
1005970928,0.28
1008940914,0.28
1012821622,0.255525
1014944500,0.28
1014962606,0.28
1014962886,0.28
410853593,0.28
441985661,0.28
684967669,0.255525
687190690,0.28
687380707,0.28
691623074,0.28
691931712,0.28
693077000,0.28
1005970898,0.28
687251095,0.28
687251125,0.28
689068026,0.28
697437701,0.28
1005951826,0.28
1008353075,0.28
1012821401,0.28
1517937,0.28
689343264,0.28
695297236,0.28
699353262,0.28
699601231,0.28
1005951770,0.28
1008216728,0.28
1014494157,0.28
442753659,0.28
535977298,0.28
536068380,0.28
536068402,0.28
536369763,0.28
691754128,0.28
1005328460,0.28
1012821550,0.28
5143845,0.28
534791557,0.28
1005314184,0.08038500000000001
1005314192,0.08038500000000001
1005314206,0.084365
1008458098,0.05
1008573130,0.05
